Track name,Artist name,Album,Playlist name,Type,ISRC,Tidal - id
"La Danza de los Mirlos","Los Mirlos","Grandes Éxitos","Favorites tracks","Favorite","ARG991024977","75168754"
"Cumbion de las Aves","Chancha Via Circuito","Río Arriba","Favorites tracks","Favorite","GBGLW1100238","421644289"
"Guajira Sicodélica","Los Destellos","Sicodélicos","Favorites tracks","Favorite","FR96X1617486","65517378"
"Tierra","Bomba Estéreo","Deja","Favorites tracks","Favorite","USSD12100068","196428189"
"Guayabo","La Perla","Guayabo","Favorites tracks","Favorite","QZGLM2025146","367368281"
"Suena Tu Canto","Pahua","Suena Tu Canto","Favorites tracks","Favorite","US66W2201081","421811456"
"Virgenes del Sol","Manzanita","Cumbias Chichadelicas: Peruvian Psychedelic Chicha","Favorites tracks","Favorite","PEIF21101011","39391806"
"Quiero a Mi Gente","Abelardo Carbonó y su Conjunto","El Maravilloso Mundo De Aberlardo Carbonó","Favorites tracks","Favorite","ES8591300708","385758600"
"Ojitos Lindos","Bad Bunny","Un Verano Sin Ti","Favorites tracks","Favorite","QM6MZ2214888","227614751"
"Pintar el Sol","Miriam García","Río Arriba","Favorites tracks","Favorite","GBGLW1100239","421644290"
"Uno Resuena","Lulacruza","Orcas","Favorites tracks","Favorite","USCGJ1520968","46274671"
"Caracol","Tremor","Río Arriba","Favorites tracks","Favorite","GBGLW1100247","421644298"
"PIPÂ  DEL ELEFANTE","Califato ¾","ÊCCLABÔ DE LIBERTÁ","Favorites tracks","Favorite","BK4DA2402139","348148496"
"Aquiles","Mercedes Nasta","Aquiles","Favorites tracks","Favorite","QM6MZ1986153","253931112"
"Tierra Mojá","Los Gaiteros de Ovejas & Cerrero","Tierra Mojá (Dub Mix)","Favorites tracks","Favorite","QZ5AB1974803","91642694"
"Aguaepanela Fantástica","Masilva","Aguaepanela Fantástica","Favorites tracks","Favorite","GBLFP2038075","339478480"
"Chicharachera","La Perla","Callejera","Favorites tracks","Favorite","QZNJZ2217875","390492335"
"Antofogasta de la Sierra","Lagartijeando","El Gran Poder","Favorites tracks","Favorite","USCCW1610619","249030118"
"La Calor","Rumbo Tumba","Modo Camalote","Favorites tracks","Favorite","US66W1900491","129724078"
"Barro","Rumbo Tumba","Río Adentro","Favorites tracks","Favorite","AR9PY2100004","199552694"
"Eclipse","XIXA","Eclipse","Favorites tracks","Favorite","QMB592000156","151964182"
"Cumbia del Pichamán","Meridian Brothers","Cumbia Siglo XXI","Favorites tracks","Favorite","USHM22003528","142316141"
"Sonido Yoryi","Los Yoryis","Sonido Yoryi","Favorites tracks","Favorite","QZNJV2016781","156371922"
"Pista (Fresh Start)","Los Bitchos","Pista (Fresh Start)","Favorites tracks","Favorite","DED622200003","334853821"
"Gnosienne No.1","Chicha Libre","Sonido Amazonico","Favorites tracks","Favorite","USCNP0701714","20131190"
"Guajira Son","Paco Zambrano y sus Ratones","Ranking Tropical N°2","Favorites tracks","Favorite","US3DF2249376","230100732"
"Viene De Mi","La Yegros","Viene De Mi","Favorites tracks","Favorite","GBGLW1100074","450050470"
"Vampiro Sabanero","Los Miticos Del Ritmo","Salvación","Favorites tracks","Favorite","FRX202058476","148577812"
"Cumbia Espacial","Ondatrópica","Café del Mar XXV (Vol. 25)","Favorites tracks","Favorite","GBUQH1200083","112445588"
"Cumbia Del Caribe","Edmundo Arias y Su Orquesta","Su Mundo De Cumbias","Favorites tracks","Favorite","MXF367623153","129794665"
"Thai Cumbia","Rolando Bruno","Bailazo","Favorites tracks","Favorite","CH6131593004","501895163"
"La Campanera","Aniceto Molina","La Trayectoria","Favorites tracks","Favorite","QMDA71353021","42633616"
"La Libanesa","Los Miticos Del Ritmo","Los Miticos del Ritmo","Favorites tracks","Favorite","GBUQH1200044","218429775"
"Daniela","Rodolfo Aicardi","Historia Musical de Rodolfo Con los Hispanos: 40 Éxitos Inolvidables","Favorites tracks","Favorite","COF019600848","418291664"
"Nubes","Caifanes","El Silencio","Favorites tracks","Favorite","MXF019701449","5078315"
"Cuando","Hanine Y Son Cubano","Arabo-Cubano","Favorites tracks","Favorite","FR59R1796134","76189464"
"Triste Perro","Señor Loop","Señor Loop Se Queda En Casa Y Suelta Varias Plenas","Favorites tracks","Favorite","PACU22000005","157959444"
"Unter den Masken","Buntspecht","Draußen im Kopf","Favorites tracks","Favorite","ATDY91900003","248399255"
"Sonido Amazonico","Chicha Libre","Sonido Amazonico","Favorites tracks","Favorite","USCNP0701701","20131177"
"Soy Yo","Bejuco","Ritmo de dos mares","Favorites tracks","Favorite","QZMZ92571173","430485122"
"Batea","Bejuco","Batea","Favorites tracks","Favorite","COA9Y2100004","169795457"
"Je pense à toi","Amadou & Mariam","Je Pense A Toi","Favorites tracks","Favorite","FRZ029702480","3633825"
